title,description,category,resolution,priority
Data exfiltration alert from DLP system,DLP system detected cloud upload of 478 sensitive records by raj.wilson@company.com. Data classification: financial. Destination: unknown endpoint.,Security,"1. Immediately revoke the user's access to sensitive systems.
2. Interview the user and their manager to determine intent.
3. Assess the scope of data potentially exfiltrated.
4. Engage legal/compliance team for incident documentation.
5. Implement additional DLP rules to prevent recurrence.
6. File a data breach notification if required by regulations.",Critical
API response times degraded for CI/CD Pipeline,Average API response time for Email Service has increased from 186ms to 6s. Users reporting slow page loads. Network dashboard shows timeout spikes. Started 15 minutes ago.,Application,"1. Check APM/tracing for slowest endpoints.
2. Identify bottleneck: database queries, external API calls, or compute.
3. Add database query indexes if N+1 queries detected.
4. Implement caching for frequently accessed data.
5. Scale horizontally if load has genuinely increased.",High
Docker container crash loop on prod-log-21,Docker container for Email Service is in a crash loop (CrashLoopBackOff) on qa-worker-29. Logs show: ERR_TIMEOUT. Environment: pre-prod. Restarted 47 times in the last hour.,Infrastructure,"1. Inspect container logs: `docker logs <container_id>`.
2. Check resource limits (memory/CPU) — container may be OOM killed.
3. Verify environment variables and config mounts.
4. Roll back to the previous known-good image.
5. Fix the root cause in application code and redeploy.",High
BGP peering session down with ISP,BGP peering session with secondary ISP is down for 2 hours. Prefix advertisements withdrawn. Traffic failover to secondary ISP is partial. External-facing services including Deployment Manager may be affected.,Network,"1. Check router BGP neighbor status and logs.
2. Verify physical layer — check for fiber/port issues.
3. Contact the ISP NOC with BGP session details.
4. If hardware issue, move to backup port/router.
5. Verify failover routing is working correctly.
6. After restoration, verify all prefixes are being advertised.",Critical
Email Service sending duplicate emails,Notification Hub is sending duplicate messages to users. Some users received 2 copies of the same notification. Issue started after the last deployment.,Application,"1. Check message queue for duplicate entries.
2. Verify idempotency keys are being used for message dispatch.
3. Check if multiple instances of the worker are processing the same queue.
4. Add deduplication logic using message IDs.
5. Clear the affected queue and reprocess.",Medium
Scheduled job failures in CRM Portal,Cron/scheduled jobs in Payment Gateway have been failing since intermittently for 2 days ago. Jobs: report generation. Error: OutOfMemoryError. Environment: DR.,Application,"1. Check cron job logs for specific error messages.
2. Verify database/external service connectivity from the job runner.
3. Check if job runner has sufficient resources (CPU/memory).
4. Manually trigger the failed job to test.
5. Fix the root cause, clear any stuck/orphaned job locks, and re-enable scheduling.",High
Suspicious login attempts detected for meera.singh@company.com,Security alert: 146 failed login attempts detected for account arjun.thomas@company.com from IP 173.51.222.239 (Nigeria). Account may be under brute-force attack. Current status: account locked.,Security,"1. Temporarily lock the affected user account.
2. Block the source IP at the WAF/firewall level.
3. Reset the user's password and require MFA reenrollment.
4. Review login audit logs for any successful unauthorized access.
5. Notify the user and their manager about the incident.
6. Add the IP range to the threat intelligence blocklist.",Critical
DynamoDB user permissions misconfigured for Mobile,SRE members have excessive read/write access in Oracle for the UAT environment. Discovered during access review.,Database,"1. Review current grants for the affected database role.
2. Revoke excessive permissions immediately.
3. Grant only the minimum required permissions (principle of least privilege).
4. Create application-specific roles with scoped access.
5. Document the permission model and add to onboarding checklist.
6. Schedule quarterly access reviews.",Medium
Invoice System returning HTTP 408 errors,CRM Portal is returning HTTP 400 errors for users. Started 1 hour ago. Affecting approximately 362 users. Browser: Edge 120. Error: ORA-12541.,Application,"1. Check application logs for stack traces and error details.
2. Verify backend service health and database connectivity.
3. If 5xx: restart the application pods/processes.
4. If 4xx: check recent deployment changes for routing/auth issues.
5. Monitor error rates post-fix and notify affected users.",High
WAF blocking legitimate traffic to Email Service,Web Application Firewall is incorrectly blocking legitimate API requests to HR Dashboard. 190 false positive blocks in the last hour. WAF rule geo-blocking is too aggressive. Affecting Data operations.,Security,"1. Review blocked requests in WAF logs to confirm false positives.
2. Whitelist known-good IP ranges and user agents.
3. Tune the overly aggressive WAF rule thresholds.
4. Add custom exception rules for the affected API endpoints.
5. Monitor for 24 hours after changes to ensure no real attacks slip through.",High
MFA enrollment issues for SRE users,3 users from Platform Engineering unable to complete MFA enrollment with Microsoft Authenticator. QR code generating error. Users cannot access MFA-protected resources.,Access Management,"1. Reset MFA enrollment for the affected users.
2. Generate new QR codes/activation links.
3. Walk users through enrollment step-by-step.
4. Verify device time is accurate (TOTP is time-sensitive).
5. Offer alternative MFA methods (SMS/email) as backup.
6. If hardware token issue, replace the security key.",High
Privilege escalation detected in production environment,SIEM alert: user ananya.garcia@company.com escalated privileges from editor to admin role without authorization in QA. admin API call detected.,Security,"1. Immediately revoke the escalated privileges.
2. Review audit logs to determine how the escalation occurred.
3. Check for any actions performed with elevated access.
4. Patch the privilege escalation vector.
5. Implement alerts for unauthorized role changes.
6. Review IAM policies to prevent similar escalation paths.",Critical
API response times degraded for Monitoring Dashboard,Average API response time for Analytics Dashboard has increased from 120ms to 10s. Users reporting slow page loads. DevOps dashboard shows timeout spikes. Started 15 minutes ago.,Application,"1. Check APM/tracing for slowest endpoints.
2. Identify bottleneck: database queries, external API calls, or compute.
3. Add database query indexes if N+1 queries detected.
4. Implement caching for frequently accessed data.
5. Scale horizontally if load has genuinely increased.",Medium
Database migration failed for Notification Hub,Schema migration for CI/CD Pipeline on MongoDB (DR) failed mid-way. Migration modified constraints. The database is now in an inconsistent state. Rollback was attempted but failed.,Database,"1. Assess current schema state vs expected state.
2. If possible, manually complete or roll back the failed migration.
3. Fix the migration script for idempotency.
4. Restore from the pre-migration backup if state is unrecoverable.
5. Re-run the migration in a staging environment first.
6. Implement migration dry-run and backup as pre-deployment steps.",Critical
WiFi connectivity issues in Building A,Multiple employees reporting WiFi dropping or slow speeds in the west wing. Speed test shows 4Mbps vs expected 441Mbps. 30 users affected. AP model: Ubiquiti.,Network,"1. Check access point dashboard for the affected area.
2. Verify AP hardware status — reboot if unresponsive.
3. Check channel congestion and switch to less crowded channels.
4. Verify PoE switch is providing adequate power to the AP.
5. Deploy additional APs if coverage is insufficient.
6. Check for RF interference from nearby devices.",Low
Firewall rule blocking traffic to Notification Hub,New firewall rule is inadvertently blocking inbound traffic on port 9090 to Analytics Dashboard on staging-cache-17. Deployed 10 minutes ago as part of compliance update. Security team affected.,Network,"1. Identify the blocking firewall rule from logs.
2. Add an exception rule for the required traffic.
3. Verify the fix with connection tests (telnet/nc).
4. Review the firewall change process to include impact assessment.
5. Document the exception in the network security policy.
6. Implement a change review process for firewall modifications.",High
SSO login failing for Deployment Manager,"Users cannot authenticate to API Gateway via SSO (Okta). Getting ""401 Unauthorized"" error. 31 users affected. Started 5 minutes ago.",Access Management,"1. Check SSO provider dashboard for service status.
2. Verify SAML/OIDC configuration — check certificate expiry.
3. Test SSO login in incognito mode to rule out cache issues.
4. If certificate expired, upload the new IdP certificate.
5. Check clock sync between IdP and SP (SAML is time-sensitive).
6. Enable SSO debug logging and review assertion content.",High
Malware detected on endpoint dev-monitor-20,Endpoint protection (Sophos) flagged a worm on uat-api-1 used by pooja.sharma@company.com. File: chrome_update.bat. Status: quarantined.,Security,"1. Immediately isolate the affected machine from the network.
2. Run a full system scan with the endpoint protection tool.
3. Check if the malware has spread to other machines on the network.
4. Reset all credentials used on the affected machine.
5. Reimage the machine if the infection is severe.
6. Submit the malware sample to the threat intelligence team.",Critical
AWS EC2/VM instance unreachable,Instance uat-log-10 in GCP westeurope is not responding to SSH or health checks. The Inventory Manager hosted on it is down. Started 15 minutes ago.,Infrastructure,"1. Check Azure console for instance status checks.
2. Review system logs and screenshot from console.
3. If status checks failed, stop and restart the instance.
4. Verify security group and NACL rules.
5. If hardware issue, migrate to a new instance.
6. Update monitoring to catch this earlier.",Critical
Scheduled job failures in CI/CD Pipeline,Cron/scheduled jobs in Analytics Dashboard have been failing since 15 minutes ago. Jobs: data sync. Error: Error 500. Environment: development.,Application,"1. Check cron job logs for specific error messages.
2. Verify database/external service connectivity from the job runner.
3. Check if job runner has sufficient resources (CPU/memory).
4. Manually trigger the failed job to test.
5. Fix the root cause, clear any stuck/orphaned job locks, and re-enable scheduling.",Medium
Firewall rule blocking traffic to Chat Service,New firewall rule is inadvertently blocking outbound traffic on port 6379 to Ticket System on uat-worker-2. Deployed 10 minutes ago as part of security hardening. DevOps team affected.,Network,"1. Identify the blocking firewall rule from logs.
2. Add an exception rule for the required traffic.
3. Verify the fix with connection tests (telnet/nc).
4. Review the firewall change process to include impact assessment.
5. Document the exception in the network security policy.
6. Implement a change review process for firewall modifications.",Critical
GCP EC2/VM instance unreachable,Instance uat-db-1 in AWS westeurope is not responding to SSH or health checks. The Inventory Manager hosted on it is down. Started 30 minutes ago.,Infrastructure,"1. Check Azure console for instance status checks.
2. Review system logs and screenshot from console.
3. If status checks failed, stop and restart the instance.
4. Verify security group and NACL rules.
5. If hardware issue, migrate to a new instance.
6. Update monitoring to catch this earlier.",Critical
Unauthorized access to GCP console detected,CloudTrail/Activity Log shows unauthorized API calls from an unrecognized IP 191.175.196.121 using IAM user ci-runner. Actions include: DescribeInstances. Credentials may be compromised.,Security,"1. Immediately rotate/deactivate the compromised IAM credentials.
2. Review CloudTrail logs for all actions taken by the compromised user.
3. Revert any unauthorized changes (new users, policies, resources).
4. Enable MFA on all IAM accounts if not already enabled.
5. Implement IP-based access restrictions for console access.
6. Conduct a full IAM access review.",Critical
dev-db-3 disk space critical,Server dev-web-22 in staging environment is at 93% disk usage. Datadog builds are failing due to insufficient space. Affecting the QA team. OS: macOS Sonoma.,Infrastructure,"1. SSH into the server and identify large files with `du -sh /var/*`.
2. Prune old Docker images: `docker system prune -af`.
3. Clear old build artifacts and logs older than 30 days.
4. Expand EBS/disk volume by 45GB.
5. Set up disk space monitoring alert at 80% threshold.",Critical
Vulnerability scan found 50 critical CVEs,Scheduled vulnerability scan of DR environment found 49 critical and 48 high-severity CVEs. Affected: OpenSSL on 9 servers. Scan tool: Qualys.,Security,"1. Prioritize critical CVEs with known exploits (CISA KEV catalog).
2. Apply security patches to affected systems starting with production.
3. For packages: update dependencies and rebuild containers.
4. Implement compensating controls (WAF rules) while patching.
5. Re-run the vulnerability scan to verify remediation.
6. Update the patch management policy and schedule.",Critical
SMTP mail server connectivity issues,Email service disrupted — outgoing emails stuck in queue. Mail server: Exchange Online. 149 users in Identity affected. Error: mailbox full.,Network,"1. Check mail server status and queue depth.
2. Verify DNS MX records are correct.
3. Check TLS certificate validity on the mail server.
4. Test SMTP connectivity: `telnet mailserver 25/587`.
5. Clear stuck messages from the mail queue.
6. If cloud-hosted, check service health dashboard.",Medium
Cassandra user permissions misconfigured for Frontend,Network members have missing SELECT grants on new tables in Elasticsearch for the staging environment. Discovered during audit.,Database,"1. Review current grants for the affected database role.
2. Revoke excessive permissions immediately.
3. Grant only the minimum required permissions (principle of least privilege).
4. Create application-specific roles with scoped access.
5. Document the permission model and add to onboarding checklist.
6. Schedule quarterly access reviews.",Medium
Data corruption detected in Elasticsearch for Notification Hub,Monitoring Dashboard reporting inconsistent data from PostgreSQL. orphaned foreign keys found. Affects 1041 records. Likely caused by application bug.,Database,"1. Immediately take a backup of the current (corrupted) state for analysis.
2. Identify the scope of corrupted records.
3. If recent, restore from the last known good backup.
4. Apply transaction logs to recover data up to the corruption point.
5. Fix the root cause (migration script, application bug, etc.).
6. Implement data integrity checks as a scheduled job.",Critical
Monitoring alerts flooding from staging cluster,Receiving 248 alerts per hour from PagerDuty for the staging environment. Alert fatigue is causing the Database team to miss real issues. Most alerts are for high memory.,Infrastructure,"1. Review and categorize current alert rules.
2. Increase alert thresholds for non-critical metrics.
3. Add alert grouping and deduplication rules.
4. Implement alert silencing for known maintenance windows.
5. Create tiered alerting: P1 pages, P2 Slack, P3 dashboard only.",Medium
SSL/TLS misconfiguration on uat-auth-23,SSL Labs scan reports grade D for dev-proxy-5. Issues: weak ciphers. This violates company security policy and may expose traffic to interception.,Security,"1. Disable TLS 1.0 and 1.1 — enforce TLS 1.2+ only.
2. Remove weak cipher suites (RC4, DES, export ciphers).
3. Enable HSTS with a minimum 6-month max-age.
4. Fix certificate chain — include intermediate certificates.
5. Re-scan with SSL Labs to verify grade A/A+ achieved.",Medium
Firewall rule blocking traffic to CRM Portal,New firewall rule is inadvertently blocking outbound traffic on port 3306 to Ticket System on dev-app-5. Deployed since this morning ago as part of network restructuring. Database team affected.,Network,"1. Identify the blocking firewall rule from logs.
2. Add an exception rule for the required traffic.
3. Verify the fix with connection tests (telnet/nc).
4. Review the firewall change process to include impact assessment.
5. Document the exception in the network security policy.
6. Implement a change review process for firewall modifications.",Critical
Privilege escalation detected in UAT environment,SIEM alert: user neha.johnson@company.com escalated privileges from editor to superuser role without authorization in QA. sudo command detected.,Security,"1. Immediately revoke the escalated privileges.
2. Review audit logs to determine how the escalation occurred.
3. Check for any actions performed with elevated access.
4. Patch the privilege escalation vector.
5. Implement alerts for unauthorized role changes.
6. Review IAM policies to prevent similar escalation paths.",Critical
Phishing email reported by Cloud team members,Multiple users from Identity reported a phishing email impersonating IT Support. Email contains a credential harvesting form. 4 users may have interacted with it.,Security,"1. Block the sender domain at the email gateway.
2. Search mailboxes for the phishing email and delete all instances.
3. Identify users who clicked the link or opened the attachment.
4. Force password resets for affected users.
5. Run endpoint scans on machines that interacted with the email.
6. Send a company-wide phishing awareness reminder.",Critical
Docker container crash loop on dev-monitor-22,Docker container for CRM Portal is in a crash loop (CrashLoopBackOff) on prod-worker-9. Logs show: Error 503. Environment: sandbox. Restarted 20 times in the last hour.,Infrastructure,"1. Inspect container logs: `docker logs <container_id>`.
2. Check resource limits (memory/CPU) — container may be OOM killed.
3. Verify environment variables and config mounts.
4. Roll back to the previous known-good image.
5. Fix the root cause in application code and redeploy.",Critical
Monitoring Dashboard returning HTTP 500 errors,Email Service is returning HTTP 429 errors for users. Started 15 minutes ago. Affecting approximately 237 users. Browser: Firefox 120. Error: OutOfMemoryError.,Application,"1. Check application logs for stack traces and error details.
2. Verify backend service health and database connectivity.
3. If 5xx: restart the application pods/processes.
4. If 4xx: check recent deployment changes for routing/auth issues.
5. Monitor error rates post-fix and notify affected users.",High
Vulnerability scan found 31 critical CVEs,Scheduled vulnerability scan of DR environment found 23 critical and 68 high-severity CVEs. Affected: PostgreSQL on 16 servers. Scan tool: Snyk.,Security,"1. Prioritize critical CVEs with known exploits (CISA KEV catalog).
2. Apply security patches to affected systems starting with production.
3. For packages: update dependencies and rebuild containers.
4. Implement compensating controls (WAF rules) while patching.
5. Re-run the vulnerability scan to verify remediation.
6. Update the patch management policy and schedule.",High
Redis backup job failed for development,Nightly MongoDB backup for sandbox environment failed at snapshot stage. Error: disk space insufficient. Last successful backup was 3 days ago.,Database,"1. Check backup job logs for the specific error.
2. Verify backup storage has sufficient space.
3. Ensure backup service account has correct permissions.
4. Run a manual backup immediately to restore the backup chain.
5. Verify backup integrity with a test restore.
6. Set up backup failure alerts to catch issues within 24 hours.",Critical
SSL/TLS misconfiguration on qa-app-12,SSL Labs scan reports grade D for uat-db-26. Issues: expired OCSP stapling. This violates company security policy and may expose traffic to interception.,Security,"1. Disable TLS 1.0 and 1.1 — enforce TLS 1.2+ only.
2. Remove weak cipher suites (RC4, DES, export ciphers).
3. Enable HSTS with a minimum 6-month max-age.
4. Fix certificate chain — include intermediate certificates.
5. Re-scan with SSL Labs to verify grade A/A+ achieved.",High
Database migration failed for Deployment Manager,Schema migration for CI/CD Pipeline on Oracle (pre-prod) failed mid-way. Migration added a column. The database is now in an inconsistent state. Rollback was not attempted.,Database,"1. Assess current schema state vs expected state.
2. If possible, manually complete or roll back the failed migration.
3. Fix the migration script for idempotency.
4. Restore from the pre-migration backup if state is unrecoverable.
5. Re-run the migration in a staging environment first.
6. Implement migration dry-run and backup as pre-deployment steps.",Critical
Kubernetes pod scheduling failures in QA,Multiple pods for Ticket System are stuck in Pending state in the development cluster. kubectl describe shows insufficient CPU/memory. The Database team cannot deploy.,Infrastructure,"1. Check node resource utilization: `kubectl top nodes`.
2. Identify resource-hungry pods: `kubectl top pods --all-namespaces`.
3. Scale up worker node group or add new nodes.
4. Review and optimize resource requests/limits for pods.
5. Consider enabling cluster autoscaler.",High
SSL/TLS misconfiguration on dev-web-5,SSL Labs scan reports grade C for staging-app-22. Issues: weak ciphers. This violates company security policy and may expose traffic to interception.,Security,"1. Disable TLS 1.0 and 1.1 — enforce TLS 1.2+ only.
2. Remove weak cipher suites (RC4, DES, export ciphers).
3. Enable HSTS with a minimum 6-month max-age.
4. Fix certificate chain — include intermediate certificates.
5. Re-scan with SSL Labs to verify grade A/A+ achieved.",Medium
Payment Gateway search functionality returning no results,Search in HR Dashboard returns empty results for all queries. Algolia index appears to be empty. Reported by 23 users from Data.,Application,"1. Check search engine cluster health and index status.
2. Verify the data sync pipeline between the primary database and search index.
3. Rebuild the search index from the source database.
4. Verify search query parsing and filtering logic.
5. Monitor indexing lag to prevent future occurrences.",Medium
Monitoring alerts flooding from UAT cluster,Receiving 341 alerts per hour from Kubernetes for the sandbox environment. Alert fatigue is causing the Backend team to miss real issues. Most alerts are for disk I/O.,Infrastructure,"1. Review and categorize current alert rules.
2. Increase alert thresholds for non-critical metrics.
3. Add alert grouping and deduplication rules.
4. Implement alert silencing for known maintenance windows.
5. Create tiered alerting: P1 pages, P2 Slack, P3 dashboard only.",Medium
Unauthorized access to Azure console detected,CloudTrail/Activity Log shows unauthorized API calls from an unrecognized IP 116.26.202.191 using IAM user admin. Actions include: GetSecretValue. Credentials may be compromised.,Security,"1. Immediately rotate/deactivate the compromised IAM credentials.
2. Review CloudTrail logs for all actions taken by the compromised user.
3. Revert any unauthorized changes (new users, policies, resources).
4. Enable MFA on all IAM accounts if not already enabled.
5. Implement IP-based access restrictions for console access.
6. Conduct a full IAM access review.",Critical
BGP peering session down with ISP,BGP peering session with secondary ISP is down for 5 minutes. Prefix advertisements withdrawn. Traffic failover to backup link is not working. External-facing services including Notification Hub may be affected.,Network,"1. Check router BGP neighbor status and logs.
2. Verify physical layer — check for fiber/port issues.
3. Contact the ISP NOC with BGP session details.
4. If hardware issue, move to backup port/router.
5. Verify failover routing is working correctly.
6. After restoration, verify all prefixes are being advertised.",Critical
Azure service quota exceeded in eu-central-1,Hitting service quota limits for Elastic IPs in GCP us-central1. Cannot provision new resources for Backend.,Infrastructure,"1. Review current quota usage in GCP console.
2. Submit a service quota increase request.
3. Clean up unused/orphaned resources.
4. Consider using a different region for non-critical workloads.
5. Implement resource tagging and lifecycle policies.",High
Docker container crash loop on dev-auth-4,Docker container for Notification Hub is in a crash loop (CrashLoopBackOff) on qa-monitor-20. Logs show: ERR_SSL_PROTOCOL_ERROR. Environment: production. Restarted 5 times in the last hour.,Infrastructure,"1. Inspect container logs: `docker logs <container_id>`.
2. Check resource limits (memory/CPU) — container may be OOM killed.
3. Verify environment variables and config mounts.
4. Roll back to the previous known-good image.
5. Fix the root cause in application code and redeploy.",High
NTP clock drift detected on qa-web-26,Clock drift of 256 seconds detected on prod-cache-22 running macOS Ventura. This is causing authentication failures and log timestamp mismatches for HR Dashboard.,Infrastructure,"1. Check current time offset: `timedatectl status`.
2. Force NTP sync: `ntpdate -u pool.ntp.org` or `chronyc makestep`.
3. Verify NTP service is running and configured correctly.
4. Add NTP monitoring to the alerting infrastructure.
5. Check if firewall is blocking NTP (UDP 123).",Medium
Redis deadlock detected in Document Manager,Frequent deadlocks occurring in Oracle when Ticket System processes concurrent order updates. 36 deadlocks in the last hour. Transaction rollbacks affecting user experience.,Database,"1. Analyze deadlock logs to identify the conflicting transactions.
2. Review application locking order — ensure consistent acquisition order.
3. Reduce transaction scope and duration.
4. Add appropriate row-level locking hints.
5. Implement retry logic for deadlock errors in application code.
6. Consider optimistic locking where possible.",High
Reporting Engine login page broken after update,"Users cannot log into Admin Console after the latest release. Login form submits but returns a blank page or StackOverflowError. Affecting all users on Safari 17, macOS Ventura. SSO redirect flow is broken.",Application,"1. Check frontend console errors in the browser.
2. Verify SSO/OAuth callback URLs are correctly configured.
3. Check if the auth service/identity provider is reachable.
4. Review recent code changes to the login flow.
5. Roll back the frontend build if needed and redeploy.",Critical
IMAP mail server connectivity issues,Email service disrupted — email sync failing. Mail server: Postfix. 87 users in Compliance affected. Error: mailbox full.,Network,"1. Check mail server status and queue depth.
2. Verify DNS MX records are correct.
3. Check TLS certificate validity on the mail server.
4. Test SMTP connectivity: `telnet mailserver 25/587`.
5. Clear stuck messages from the mail queue.
6. If cloud-hosted, check service health dashboard.",High
Load balancer health check failures for API Gateway,"NLB load balancer reporting 5 out of 8 backend targets as unhealthy for CRM Portal. Health check path: /healthz. Traffic being sent to fewer instances, causing overload.",Network,"1. Check health check endpoint on failing instances — curl manually.
2. Verify security groups allow health check traffic from the load balancer.
3. Check if application is listening on the expected port.
4. Review application health check logic — it may be failing on DB/dependency checks.
5. Restart unhealthy instances and monitor.
6. Increase health check timeout/threshold to avoid flapping.",High
MySQL deadlock detected in Customer Portal,Frequent deadlocks occurring in MongoDB when CI/CD Pipeline processes inventory adjustments. 75 deadlocks in the last hour. Transaction rollbacks affecting user experience.,Database,"1. Analyze deadlock logs to identify the conflicting transactions.
2. Review application locking order — ensure consistent acquisition order.
3. Reduce transaction scope and duration.
4. Add appropriate row-level locking hints.
5. Implement retry logic for deadlock errors in application code.
6. Consider optimistic locking where possible.",Medium
Vulnerability scan found 50 critical CVEs,Scheduled vulnerability scan of DR environment found 37 critical and 54 high-severity CVEs. Affected: Spring Framework on 11 servers. Scan tool: Snyk.,Security,"1. Prioritize critical CVEs with known exploits (CISA KEV catalog).
2. Apply security patches to affected systems starting with production.
3. For packages: update dependencies and rebuild containers.
4. Implement compensating controls (WAF rules) while patching.
5. Re-run the vulnerability scan to verify remediation.
6. Update the patch management policy and schedule.",High
Employee offboarding — revoke access for mike.taylor@company.com,arjun.johnson@company.com from Platform Engineering has been terminated. All access must be revoked immediately per security policy. Manager confirmed. Last working day: today.,Access Management,"1. Disable Active Directory account immediately.
2. Revoke all SSO sessions and OAuth tokens.
3. Remove from all application access groups.
4. Disable AWS IAM access and rotate shared credentials they had access to.
5. Transfer ownership of shared documents and resources.
6. Archive mailbox per retention policy.
7. Document revocation for compliance audit trail.",Critical
Network latency spike between eu-west-1 and ap-southeast-1,Cross-region network latency between Azure westeurope and ap-south-1 spiked from 28ms to 790ms. Affecting Reporting Engine which has components in both regions. Backend reporting degraded performance.,Network,"1. Check AWS health dashboard for network issues.
2. Run traceroute/mtr to identify the network hop causing latency.
3. If provider issue, open a support case with GCP.
4. Enable caching at the edge to reduce cross-region calls.
5. Consider deploying service replicas in the same region.
6. Implement circuit breakers for cross-region dependencies.",High
Cassandra deadlock detected in Inventory Manager,Frequent deadlocks occurring in MongoDB when HR Dashboard processes concurrent order updates. 18 deadlocks in the last hour. Transaction rollbacks affecting user experience.,Database,"1. Analyze deadlock logs to identify the conflicting transactions.
2. Review application locking order — ensure consistent acquisition order.
3. Reduce transaction scope and duration.
4. Add appropriate row-level locking hints.
5. Implement retry logic for deadlock errors in application code.
6. Consider optimistic locking where possible.",Medium
BGP peering session down with ISP,BGP peering session with backup ISP is down for 2 hours. Prefix advertisements withdrawn. Traffic failover to secondary ISP is partial. External-facing services including CI/CD Pipeline may be affected.,Network,"1. Check router BGP neighbor status and logs.
2. Verify physical layer — check for fiber/port issues.
3. Contact the ISP NOC with BGP session details.
4. If hardware issue, move to backup port/router.
5. Verify failover routing is working correctly.
6. After restoration, verify all prefixes are being advertised.",Critical
SSO login failing for Inventory Manager,"Users cannot authenticate to Notification Hub via SSO (OneLogin). Getting ""Token expired"" error. 62 users affected. Started 30 minutes ago.",Access Management,"1. Check SSO provider dashboard for service status.
2. Verify SAML/OIDC configuration — check certificate expiry.
3. Test SSO login in incognito mode to rule out cache issues.
4. If certificate expired, upload the new IdP certificate.
5. Check clock sync between IdP and SP (SAML is time-sensitive).
6. Enable SSO debug logging and review assertion content.",High
Data corruption detected in Elasticsearch for Analytics Dashboard,Order Management reporting inconsistent data from Redis. duplicate entries found. Affects 1008 records. Likely caused by incomplete migration.,Database,"1. Immediately take a backup of the current (corrupted) state for analysis.
2. Identify the scope of corrupted records.
3. If recent, restore from the last known good backup.
4. Apply transaction logs to recover data up to the corruption point.
5. Fix the root cause (migration script, application bug, etc.).
6. Implement data integrity checks as a scheduled job.",Critical
MFA enrollment issues for DevOps users,15 users from QA unable to complete MFA enrollment with Authy. QR code not scanning. Users cannot access MFA-protected resources.,Access Management,"1. Reset MFA enrollment for the affected users.
2. Generate new QR codes/activation links.
3. Walk users through enrollment step-by-step.
4. Verify device time is accurate (TOTP is time-sensitive).
5. Offer alternative MFA methods (SMS/email) as backup.
6. If hardware token issue, replace the security key.",Medium
Employee offboarding — revoke access for emma.taylor@company.com,priya.davis@company.com from Infrastructure has transferred to another department. All access must be revoked immediately per security policy. Manager confirmed. Last working day: yesterday.,Access Management,"1. Disable Active Directory account immediately.
2. Revoke all SSO sessions and OAuth tokens.
3. Remove from all application access groups.
4. Disable AWS IAM access and rotate shared credentials they had access to.
5. Transfer ownership of shared documents and resources.
6. Archive mailbox per retention policy.
7. Document revocation for compliance audit trail.",High
Account locked out for meera.sharma@company.com,"User pooja.harris@company.com from Mobile is locked out of their Active Directory account after 4 failed password attempts. Unable to access any company systems including Document Manager, email, and VPN. User is working remotely.",Access Management,"1. Verify user identity through secondary authentication (phone/Slack).
2. Unlock the AD account via Active Directory Users and Computers.
3. Reset the password to a temporary value.
4. Ensure user changes password at next login.
5. Check login logs for suspicious activity from other IPs.
6. If legitimate lockout, educate user on password manager usage.",Medium
MySQL CPU at 95% utilization,Elasticsearch instance staging-db-19 has been at 100% CPU utilization for since this morning. Query queue is building up. Notification Hub response times severely degraded. Environment: development.,Database,"1. Identify the resource-consuming queries/processes.
2. Kill any runaway queries that are not critical.
3. Vertically scale the instance (upgrade CPU/memory).
4. Optimize the top 5 most expensive queries.
5. Implement query timeout settings.
6. Set up proactive alerting at 80% utilization threshold.",High
Load balancer health check failures for SSO Portal,"nginx load balancer reporting 9 out of 10 backend targets as unhealthy for Customer Portal. Health check path: /ping. Traffic being sent to fewer instances, causing overload.",Network,"1. Check health check endpoint on failing instances — curl manually.
2. Verify security groups allow health check traffic from the load balancer.
3. Check if application is listening on the expected port.
4. Review application health check logic — it may be failing on DB/dependency checks.
5. Restart unhealthy instances and monitor.
6. Increase health check timeout/threshold to avoid flapping.",High
Oracle IOPS at 96% utilization,PostgreSQL instance qa-proxy-14 has been at 98% memory utilization for 1 hour. Query queue is building up. CI/CD Pipeline response times severely degraded. Environment: UAT.,Database,"1. Identify the resource-consuming queries/processes.
2. Kill any runaway queries that are not critical.
3. Vertically scale the instance (upgrade CPU/memory).
4. Optimize the top 5 most expensive queries.
5. Implement query timeout settings.
6. Set up proactive alerting at 80% utilization threshold.",High
Notification Hub login page broken after update,"Users cannot log into Email Service after the latest release. Login form submits but returns a blank page or EACCES. Affecting all users on Edge 120, RHEL 9. SSO redirect flow is broken.",Application,"1. Check frontend console errors in the browser.
2. Verify SSO/OAuth callback URLs are correctly configured.
3. Check if the auth service/identity provider is reachable.
4. Review recent code changes to the login flow.
5. Roll back the frontend build if needed and redeploy.",Critical
MongoDB deadlock detected in HR Dashboard,Frequent deadlocks occurring in Oracle when Payment Gateway processes payment transactions. 46 deadlocks in the last hour. Transaction rollbacks affecting user experience.,Database,"1. Analyze deadlock logs to identify the conflicting transactions.
2. Review application locking order — ensure consistent acquisition order.
3. Reduce transaction scope and duration.
4. Add appropriate row-level locking hints.
5. Implement retry logic for deadlock errors in application code.
6. Consider optimistic locking where possible.",Medium
